Time[s], SCL, SDA
2.409523125, 1, 0
2.409548, 0, 0
2.409657, 1, 0
2.409658125, 1, 1
2.4096825, 0, 1
2.4097645, 1, 1
2.40976725, 1, 0
2.409791625, 0, 0
2.40990075, 1, 0
2.409902, 1, 1
2.40992625, 0, 1
2.410008125, 1, 1
2.4100345, 0, 1
2.4101165, 1, 1
2.410142875, 0, 1
2.41022475, 1, 1
2.410251125, 0, 1
2.410333125, 1, 1
2.4103595, 0, 1
2.410441375, 1, 1
2.41046775, 0, 1
2.41054975, 1, 1
2.410576125, 0, 1
2.410658125, 1, 1
2.4106845, 0, 1
2.410766375, 1, 1
2.41079275, 0, 1
2.41087475, 1, 1
2.410901125, 0, 1
2.410983125, 1, 1
2.4110095, 0, 1
2.4110915, 1, 1
2.411117875, 0, 1
2.411199875, 1, 1
2.41122625, 0, 1
2.411665875, 0, 0
2.415211375, 1, 0
2.41523775, 0, 0
2.415346875, 1, 0
2.41534925, 1, 1
2.415372375, 0, 1
2.415454375, 1, 1
2.415455125, 1, 0
2.4154815, 0, 0
2.415590625, 1, 0
2.415593125, 1, 1
2.415616125, 0, 1
2.415698, 1, 1
2.415724375, 0, 1
2.415806375, 1, 1
2.415808375, 1, 0
2.415833625, 0, 0
2.41594275, 1, 0
2.41594325, 1, 1
2.41596825, 0, 1
2.41605025, 1, 1
2.4160525, 1, 0
2.4160775, 0, 0
2.416186625, 1, 0
2.416187375, 1, 1
2.416212125, 0, 1
2.416294125, 1, 1
2.4163205, 0, 1
2.4164025, 1, 1
2.416428875, 0, 1
2.416510875, 1, 1
2.41653725, 0, 1
2.41661925, 1, 1
2.416645625, 0, 1
2.416727625, 1, 1
2.416754, 0, 1
2.416836, 1, 1
2.416862375, 0, 1
2.416944375, 1, 1
2.41697075, 0, 1
2.41705275, 1, 1
2.41707925, 0, 1
2.41716125, 1, 1
2.417187625, 0, 1
2.4172695, 1, 1
2.417296, 0, 1
2.417377875, 1, 1
2.417404375, 0, 1
2.41748625, 1, 1
2.41751275, 0, 1
2.4178295, 0, 0
2.42149925, 1, 0
2.421501, 1, 1
2.42152475, 0, 1
2.42160675, 1, 1
2.421610125, 1, 0
2.421634, 0, 0
2.421743125, 1, 0
2.4217695, 0, 0
2.421878625, 1, 0
2.42188, 1, 1
2.421904125, 0, 1
2.421986125, 1, 1
2.4220125, 0, 1
2.422094625, 1, 1
2.422095, 1, 0
2.42212175, 0, 0
2.422230875, 1, 0
2.422233125, 1, 1
2.422256375, 0, 1
2.422338375, 1, 1
2.422339, 1, 0
2.4223655, 0, 0
2.42247475, 1, 0
2.422477125, 1, 1
2.422500125, 0, 1
2.422582125, 1, 1
2.4226085, 0, 1
2.4226905, 1, 1
2.422716875, 0, 1
2.422798875, 1, 1
2.42282525, 0, 1
2.422907375, 1, 1
2.42293375, 0, 1
2.42301575, 1, 1
2.423042125, 0, 1
2.423124125, 1, 1
2.4231505, 0, 1
2.4232325, 1, 1
2.423258875, 0, 1
2.423340875, 1, 1
2.42336725, 0, 1
2.42344925, 1, 1
2.423475625, 0, 1
2.423557625, 1, 1
2.423584, 0, 1
2.423666125, 1, 1
2.4236925, 0, 1
2.4237745, 1, 1
2.423800875, 0, 1
2.4277845, 1, 1
2.427810875, 0, 1
2.427892875, 1, 1
2.4278945, 1, 0
2.42792, 0, 0
2.428029125, 1, 0
2.4280555, 0, 0
2.428164625, 1, 0
2.428167375, 1, 1
2.428190125, 0, 1
2.428272125, 1, 1
2.4282985, 0, 1
2.4283805, 1, 1
2.4283825, 1, 0
2.428407625, 0, 0
2.42851675, 1, 0
2.428517375, 1, 1
2.42854225, 0, 1
2.42862425, 1, 1
2.428626625, 1, 0
2.4286515, 0, 0
2.428760625, 1, 0
2.4287615, 1, 1
2.428786125, 0, 1
2.428868125, 1, 1
2.4288945, 0, 1
2.4289765, 1, 1
2.429003, 0, 1
2.429085, 1, 1
2.429111375, 0, 1
2.429193375, 1, 1
2.42921975, 0, 1
