Time[s], SDA, SCL
0.101639, 0, 0
0.101748, 0, 1
0.1017745, 0, 0
0.1018835, 0, 1
0.10191, 0, 0
0.1020195, 0, 1
0.1020455, 0, 0
0.102155, 0, 1
0.1021815, 0, 0
0.1022905, 0, 1
0.102317, 0, 0
0.102937, 1, 0
0.1063025, 1, 1
0.106329, 1, 0
0.106411, 1, 1
0.106413, 0, 1
0.106438, 0, 0
0.106547, 0, 1
0.1065485, 1, 1
0.1065725, 1, 0
0.1066545, 1, 1
0.1066575, 0, 1
0.106682, 0, 0
0.106791, 0, 1
0.1068175, 0, 0
0.1069265, 0, 1
0.106928, 1, 1
0.106952, 1, 0
0.107034, 1, 1
0.1070605, 1, 0
0.1071425, 1, 1
0.1071685, 1, 0
0.1072505, 1, 1
0.107277, 1, 0
0.107359, 1, 1
0.1073595, 0, 1
0.1073865, 0, 0
0.1074955, 0, 1
0.107522, 0, 0
0.107631, 0, 1
0.1076335, 1, 1
0.1076565, 1, 0
0.1077385, 1, 1
0.1077645, 1, 0
0.1078465, 1, 1
0.107849, 0, 1
0.107874, 0, 0
0.107983, 0, 1
0.1080095, 0, 0
0.1081185, 0, 1
0.108145, 0, 0
0.108254, 0, 1
0.1082805, 0, 0
0.1083895, 0, 1
0.108416, 0, 0
0.108525, 0, 1
0.1085515, 0, 0
0.1086605, 0, 1
0.108687, 0, 0
0.108796, 0, 1
0.1088225, 0, 0
0.1091185, 1, 0
0.112808, 1, 1
0.112834, 1, 0
0.112916, 1, 1
0.1129195, 0, 1
0.1129435, 0, 0
0.1130525, 0, 1
0.113055, 1, 1
0.113078, 1, 0
0.11316, 1, 1
0.113161, 0, 1
0.1131875, 0, 0
0.1132965, 0, 1
0.113323, 0, 0
0.113432, 0, 1
0.1134345, 1, 1
0.1134575, 1, 0
0.1135395, 1, 1
0.113566, 1, 0
0.113648, 1, 1
0.1136745, 1, 0
0.1137565, 1, 1
0.113783, 1, 0
0.113865, 1, 1
0.113866, 0, 1
0.113892, 0, 0
0.114001, 0, 1
0.1140275, 0, 0
0.114137, 0, 1
0.1141395, 1, 1
0.1141625, 1, 0
0.1142445, 1, 1
0.114271, 1, 0
0.114353, 1, 1
0.114355, 0, 1
0.11438, 0, 0
0.1144895, 0, 1
0.1145155, 0, 0
0.114625, 0, 1
0.114651, 0, 0
0.1147605, 0, 1
0.114787, 0, 0
0.114896, 0, 1
0.1149225, 0, 0
0.1150315, 0, 1
0.115058, 0, 0
0.115167, 0, 1
0.1151935, 0, 0
0.1153025, 0, 1
0.115329, 0, 0
0.115712, 1, 0
0.1193155, 1, 1
0.119342, 1, 0
0.119424, 1, 1
0.1194255, 0, 1
0.119451, 0, 0
0.11956, 0, 1
0.1195605, 1, 1
0.1195855, 1, 0
0.1196675, 1, 1
0.11967, 0, 1
0.119695, 0, 0
0.119804, 0, 1
0.1198305, 0, 0
0.11994, 0, 1
0.1199405, 1, 1
0.1199655, 1, 0
0.1200475, 1, 1
0.120074, 1, 0
0.120156, 1, 1
0.1201825, 1, 0
0.1202645, 1, 1
0.1202905, 1, 0
0.120373, 1, 1
0.120375, 0, 1
0.1204, 0, 0
0.120509, 0, 1
0.1205355, 0, 0
0.120645, 0, 1
0.1206455, 1, 1
0.1206705, 1, 0
0.1207525, 1, 1
0.1207785, 1, 0
0.120861, 0, 1
0.120888, 0, 0
0.120997, 0, 1
0.1210235, 0, 0
0.1211325, 0, 1
0.121159, 0, 0
0.121268, 0, 1
0.1212945, 0, 0
0.121404, 0, 1
0.12143, 0, 0
0.1215395, 0, 1
0.1215655, 0, 0
0.121675, 0, 1
0.1217015, 0, 0
0.1218105, 0, 1
0.121837, 0, 0
0.122305, 1, 0
0.1258215, 1, 1
0.125848, 1, 0
0.12593, 1, 1
0.125931, 0, 1
0.125957, 0, 0
0.126066, 0, 1
0.1260695, 1, 1
0.126092, 1, 0
0.126174, 1, 1
0.1261755, 0, 1
0.126201, 0, 0
0.12631, 0, 1
0.1263365, 0, 0
0.1264455, 0, 1
0.126446, 1, 1
0.126471, 1, 0
0.126553, 1, 1
0.1265795, 1, 0
0.1266615, 1, 1
0.126688, 1, 0
0.12677, 1, 1
0.1267965, 1, 0
0.1268785, 1, 1
0.1268805, 0, 1
0.1269055, 0, 0
0.127015, 0, 1
0.127041, 0, 0
0.1271505, 1, 1
0.127176, 1, 0
0.127258, 1, 1
0.1272845, 1, 0
0.1273665, 1, 1
0.1273695, 0, 1
0.1273935, 0, 0
0.1275025, 0, 1
0.127529, 0, 0
0.1276385, 0, 1
0.1276645, 0, 0
0.127774, 0, 1
0.1278, 0, 0
0.1279095, 0, 1
0.1279355, 0, 0
0.128045, 0, 1
0.1280715, 0, 0
0.1281805, 0, 1
0.128207, 0, 0
0.128316, 0, 1
0.1283425, 0, 0
0.128897, 1, 0
0.132328, 1, 1
0.1323545, 1, 0
0.1324365, 1, 1
0.132439, 0, 1
0.132464, 0, 0
0.132573, 0, 1
0.132574, 1, 1
0.1325985, 1, 0
0.1326805, 1, 1
0.1326835, 0, 1
0.132708, 0, 0
0.132817, 0, 1
0.1328435, 0, 0
0.1329525, 0, 1
0.1329535, 1, 1
0.132978, 1, 0
0.13306, 1, 1
0.1330865, 1, 0
0.1331685, 1, 1
0.133195, 1, 0
0.133277, 1, 1
0.1333035, 1, 0
0.1333855, 1, 1
0.133388, 0, 1
0.133413, 0, 0
0.133522, 0, 1
0.1335485, 0, 0
0.1336575, 0, 1
0.1336585, 1, 1
0.133683, 1, 0
0.133765, 1, 1
0.1337915, 1, 0
0.1338735, 1, 1
0.133874, 0, 1
0.133901, 0, 0
0.13401, 0, 1
0.1340365, 0, 0
0.1341455, 0, 1
0.134172, 0, 0
0.134281, 0, 1
0.1343075, 0, 0
0.134417, 0, 1
0.134443, 0, 0
0.1345525, 0, 1
0.134579, 0, 0
0.134688, 0, 1
0.1347145, 0, 0
0.1348235, 0, 1
0.13485, 0, 0
0.135076, 1, 0
0.138836, 1, 1
0.138862, 1, 0
0.138944, 1, 1
0.138946, 0, 1
0.1389715, 0, 0
0.1390805, 0, 1
0.1390815, 1, 1
0.139106, 1, 0
0.139188, 1, 1
0.1391905, 0, 1
0.1392155, 0, 0
0.1393245, 0, 1
0.139351, 0, 0
0.13946, 0, 1
0.139461, 1, 1
0.1394855, 1, 0
0.1395675, 1, 1
0.139594, 1, 0
0.139676, 1, 1
0.1397025, 1, 0
0.1397845, 1, 1
0.139811, 1, 0
0.139893, 1, 1
0.139895, 0, 1
0.13992, 0, 0
0.1400295, 0, 1
0.1400555, 0, 0
0.140165, 0, 1
0.1401655, 1, 1
0.1401905, 1, 0
0.1402725, 1, 1
0.1402985, 1, 0
0.140381, 1, 1
0.1403815, 0, 1
0.140408, 0, 0
0.140517, 0, 1
0.1405435, 0, 0
0.1406525, 0, 1
0.140679, 0, 0
0.140788, 0, 1
0.1408145, 0, 0
0.1409235, 0, 1
0.14095, 0, 0
0.141059, 0, 1
0.1410855, 0, 0
0.1411945, 0, 1
0.141221, 0, 0
0.14133, 0, 1
0.1413565, 0, 0
0.141667, 1, 0
0.1453415, 1, 1
0.145368, 1, 0
0.14545, 1, 1
0.145453, 0, 1
0.145477, 0, 0
0.1455865, 0, 1
0.145588, 1, 1
0.145612, 1, 0
0.145694, 1, 1
0.1456945, 0, 1
0.145721, 0, 0
0.14583, 0, 1
0.1458565, 0, 0
0.1459655, 0, 1
0.1459675, 1, 1
0.145991, 1, 0
0.146073, 1, 1
0.1460995, 1, 0
0.1461815, 1, 1
0.146208, 1, 0
0.14629, 1, 1
0.1463165, 1, 0
0.1463985, 1, 1
0.146399, 0, 1
0.1464255, 0, 0
0.146535, 0, 1
0.146561, 0, 0
0.1466705, 0, 1
0.1466725, 1, 1
0.146696, 1, 0
0.146778, 1, 1
0.146804, 1, 0
0.146886, 1, 1
0.146888, 0, 1
0.1469135, 0, 0
0.1470225, 0, 1
0.147049, 0, 0
0.147158, 0, 1
0.1471845, 0, 0
0.1472935, 0, 1
0.14732, 0, 0
0.147429, 0, 1
0.1474555, 0, 0
0.147565, 0, 1
0.147591, 0, 0
0.1477005, 0, 1
0.1477265, 0, 0
0.147836, 0, 1
0.147862, 0, 0
0.148258, 1, 0
0.151848, 1, 1
0.1518745, 1, 0
0.1519565, 1, 1
0.151958, 0, 1
0.1519835, 0, 0
0.1520925, 0, 1
0.152093, 1, 1
0.1521185, 1, 0
0.1522005, 1, 1
0.1522025, 0, 1
0.1522275, 0, 0
0.152337, 0, 1
0.152363, 0, 0
0.1524725, 1, 1
0.152498, 1, 0
0.15258, 1, 1
0.1526065, 1, 0
0.1526885, 1, 1
0.1527145, 1, 0
0.152797, 1, 1
0.152823, 1, 0
0.152905, 1, 1
0.1529075, 0, 1
0.1529325, 0, 0
0.1530415, 0, 1
0.153068, 0, 0
0.153177, 0, 1
0.153178, 1, 1
0.1532025, 1, 0
0.1532845, 1, 1
0.153311, 1, 0
0.153393, 1, 1
0.1533935, 0, 1
0.1534205, 0, 0
0.1535295, 0, 1
0.153556, 0, 0
0.153665, 0, 1
0.1536915, 0, 0
0.1538005, 0, 1
0.153827, 0, 0
0.153936, 0, 1
0.1539625, 0, 0
0.1540715, 0, 1
0.154098, 0, 0
0.1542075, 0, 1
0.1542335, 0, 0
0.154343, 0, 1
0.154369, 0, 0
0.15485, 1, 0
0.1583535, 1, 1
0.15838, 1, 0
0.158462, 1, 1
0.1584635, 0, 1
0.158489, 0, 0
0.158598, 0, 1
0.1585985, 1, 1
0.1586235, 1, 0
0.1587055, 1, 1
0.158708, 0, 1
0.158733, 0, 0
0.158842, 0, 1
0.1588685, 0, 0
0.1589775, 0, 1
0.1589785, 1, 1
0.159003, 1, 0
0.159085, 1, 1
0.1591115, 1, 0
0.1591935, 1, 1
0.15922, 1, 0
0.159302, 1, 1
0.159328, 1, 0
0.15941, 1, 1
0.159413, 0, 1
0.1594375, 0, 0
0.159547, 0, 1
0.159573, 0, 0
0.1596825, 0, 1
0.1596835, 1, 1
0.159708, 1, 0
0.15979, 1, 1
0.159816, 1, 0
0.159898, 1, 1
0.159899, 0, 1
0.1599255, 0, 0
0.1600345, 0, 1
0.160061, 0, 0
0.16017, 0, 1
0.1601965, 0, 0
0.1603055, 0, 1
0.160332, 0, 0
0.160441, 0, 1
0.1604675, 0, 0
0.1605765, 0, 1
0.160603, 0, 0
0.160712, 0, 1
0.1607385, 0, 0
0.1608475, 0, 1
0.160874, 0, 0
0.161442, 1, 0
0.164859, 1, 1
0.1648855, 1, 0
0.1649675, 1, 1
0.1649685, 0, 1
0.1649945, 0, 0
0.165104, 0, 1
0.165107, 1, 1
0.1651295, 1, 0
0.1652115, 1, 1
0.165213, 0, 1
0.1652385, 0, 0
0.1653475, 0, 1
0.165374, 0, 0
0.1654835, 0, 1
0.1654865, 1, 1
0.165509, 1, 0
0.165591, 1, 1
